month,year,name,gas,main_sector,total_emissions
1,2021,Lạng Sơn,co2,Năng lượng,2146.72
1,2021,Lạng Sơn,co2,Đất đai,0.02
1,2021,Lạng Sơn,co2e_20yr,Chất thải,1028.55
1,2021,Lạng Sơn,co2e_20yr,Công nghiệp,2864.75
1,2021,Lạng Sơn,co2e_20yr,Giao thông,1827.73
1,2021,Lạng Sơn,co2e_20yr,Nông nghiệp,1349.92
1,2021,Lạng Sơn,co2e_20yr,Năng lượng,3281.54
1,2021,Lạng Sơn,co2e_20yr,Đất đai,0.02
1,2021,Lạng Sơn,n2o,Chất thải,28.64
1,2021,Lạng Sơn,n2o,Công nghiệp,12.02
1,2021,Lạng Sơn,n2o,Giao thông,15.47
1,2021,Lạng Sơn,n2o,Nông nghiệp,76.01
1,2021,Lạng Sơn,n2o,Năng lượng,61.02
1,2021,Lạng Sơn,n2o,Đất đai,0.0
1,2021,Minh Tân,ch4,Chất thải,1539.35
1,2021,Minh Tân,ch4,Công nghiệp,40.71
1,2021,Minh Tân,ch4,Giao thông,55.6
1,2021,Minh Tân,ch4,Nông nghiệp,4163.52
1,2021,Minh Tân,ch4,Năng lượng,174439.7
1,2021,Minh Tân,ch4,Đất đai,0.0
1,2021,Minh Tân,co2,Chất thải,1.63
1,2021,Minh Tân,co2,Công nghiệp,88399.5
1,2021,Minh Tân,co2,Giao thông,3553.35
1,2021,Minh Tân,co2,Nông nghiệp,141.13
1,2021,Minh Tân,co2,Năng lượng,5246.33
1,2021,Minh Tân,co2,Đất đai,152.67
1,2021,Minh Tân,co2e_20yr,Chất thải,1600.53
1,2021,Minh Tân,co2e_20yr,Công nghiệp,89563.64
1,2021,Minh Tân,co2e_20yr,Giao thông,3641.15
1,2021,Minh Tân,co2e_20yr,Nông nghiệp,4690.05
1,2021,Minh Tân,co2e_20yr,Năng lượng,182368.54
1,2021,Minh Tân,co2e_20yr,Đất đai,152.67
1,2021,Minh Tân,n2o,Chất thải,44.56
1,2021,Minh Tân,n2o,Công nghiệp,31.92
1,2021,Minh Tân,n2o,Giao thông,30.78
1,2021,Minh Tân,n2o,Nông nghiệp,323.02
1,2021,Minh Tân,n2o,Năng lượng,65.03
1,2021,Minh Tân,n2o,Đất đai,0.0
1,2021,Nam Định,ch4,Chất thải,42636.02
1,2021,Nam Định,ch4,Công nghiệp,771.36
1,2021,Nam Định,ch4,Giao thông,517.96
1,2021,Nam Định,ch4,Nông nghiệp,151801.3
1,2021,Nam Định,ch4,Năng lượng,16624.75
1,2021,Nam Định,ch4,Đất đai,0.0
1,2021,Nam Định,co2,Chất thải,45.17
1,2021,Nam Định,co2,Công nghiệp,56331.99
1,2021,Nam Định,co2,Giao thông,32987.53
1,2021,Nam Định,co2,Nông nghiệp,11491.15
1,2021,Nam Định,co2,Năng lượng,28401.23
1,2021,Nam Định,co2,Đất đai,101.04
1,2021,Nam Định,co2e_20yr,Chất thải,44330.46
1,2021,Nam Định,co2e_20yr,Công nghiệp,70257.4
1,2021,Nam Định,co2e_20yr,Giao thông,33807.89
1,2021,Nam Định,co2e_20yr,Nông nghiệp,174036.56
1,2021,Nam Định,co2e_20yr,Năng lượng,45869.86
1,2021,Nam Định,co2e_20yr,Đất đai,101.04
1,2021,Nam Định,n2o,Chất thải,1234.33
1,2021,Nam Định,n2o,Công nghiệp,632.44
1,2021,Nam Định,n2o,Giao thông,287.76
1,2021,Nam Định,n2o,Nông nghiệp,8467.23
1,2021,Nam Định,n2o,Năng lượng,584.41
1,2021,Nam Định,n2o,Đất đai,0.0
1,2021,Ninh Bình,ch4,Chất thải,6860.65
1,2021,Ninh Bình,ch4,Công nghiệp,129.88
1,2021,Ninh Bình,ch4,Giao thông,126.88
1,2021,Ninh Bình,ch4,Nông nghiệp,23842.02
1,2021,Ninh Bình,ch4,Năng lượng,5161.2
