month,year,name,gas,main_sector,total_emissions
1,2021,Nam Định,n2o,Chất thải,9.94
1,2021,Nam Định,n2o,Công nghiệp,461.54
1,2021,Nam Định,n2o,Giao thông,282.15
1,2021,Nam Định,n2o,Nông nghiệp,4600.83
1,2021,Nam Định,n2o,Năng lượng,291.34
1,2021,Nam Định,n2o,Đất đai,0.0
1,2021,Ninh Bình,ch4,Chất thải,3271.59
1,2021,Ninh Bình,ch4,Công nghiệp,48.71
1,2021,Ninh Bình,ch4,Giao thông,126.8
1,2021,Ninh Bình,ch4,Nông nghiệp,23833.1
1,2021,Ninh Bình,ch4,Năng lượng,25.53
1,2021,Ninh Bình,ch4,Đất đai,0.0
1,2021,Ninh Bình,co2,Chất thải,7.27
1,2021,Ninh Bình,co2,Công nghiệp,7453.79
1,2021,Ninh Bình,co2,Giao thông,8075.69
1,2021,Ninh Bình,co2,Nông nghiệp,2722.72
1,2021,Ninh Bình,co2,Năng lượng,80442.63
1,2021,Ninh Bình,co2,Đất đai,47.04
1,2021,Ninh Bình,co2e_20yr,Chất thải,3311.37
1,2021,Ninh Bình,co2e_20yr,Công nghiệp,11768.82
1,2021,Ninh Bình,co2e_20yr,Giao thông,8274.24
1,2021,Ninh Bình,co2e_20yr,Nông nghiệp,27616.45
1,2021,Ninh Bình,co2e_20yr,Năng lượng,80570.33
1,2021,Ninh Bình,co2e_20yr,Đất đai,47.04
1,2021,Ninh Bình,n2o,Chất thải,1.6
1,2021,Ninh Bình,n2o,Công nghiệp,41.6
1,2021,Ninh Bình,n2o,Giao thông,69.84
1,2021,Ninh Bình,n2o,Nông nghiệp,703.13
1,2021,Ninh Bình,n2o,Năng lượng,98.37
1,2021,Ninh Bình,n2o,Đất đai,0.0
1,2021,Phat Diem,ch4,Chất thải,927.82
1,2021,Phat Diem,ch4,Công nghiệp,2.53
1,2021,Phat Diem,ch4,Giao thông,20.9
1,2021,Phat Diem,ch4,Nông nghiệp,11932.81
1,2021,Phat Diem,ch4,Năng lượng,3.39
1,2021,Phat Diem,ch4,Đất đai,0.0
1,2021,Phat Diem,co2,Chất thải,2.06
1,2021,Phat Diem,co2,Công nghiệp,842.86
1,2021,Phat Diem,co2,Giao thông,1329.47
1,2021,Phat Diem,co2,Nông nghiệp,858.6
1,2021,Phat Diem,co2,Năng lượng,827.94
1,2021,Phat Diem,co2,Đất đai,0.0
1,2021,Phat Diem,co2e_20yr,Chất thải,939.1
1,2021,Phat Diem,co2e_20yr,Công nghiệp,1407.71
1,2021,Phat Diem,co2e_20yr,Giao thông,1362.08
1,2021,Phat Diem,co2e_20yr,Nông nghiệp,13066.08
1,2021,Phat Diem,co2e_20yr,Năng lượng,844.88
1,2021,Phat Diem,co2e_20yr,Đất đai,0.0
1,2021,Phat Diem,n2o,Chất thải,0.45
1,2021,Phat Diem,n2o,Công nghiệp,2.08
1,2021,Phat Diem,n2o,Giao thông,11.39
1,2021,Phat Diem,n2o,Nông nghiệp,95.68
1,2021,Phat Diem,n2o,Năng lượng,13.05
1,2021,Phat Diem,n2o,Đất đai,0.0
1,2021,Phù Yên,ch4,Chất thải,32.91
1,2021,Phù Yên,ch4,Công nghiệp,0.04
1,2021,Phù Yên,ch4,Giao thông,10.3
1,2021,Phù Yên,ch4,Nông nghiệp,2857.86
1,2021,Phù Yên,ch4,Năng lượng,0.05
1,2021,Phù Yên,ch4,Đất đai,0.0
1,2021,Phù Yên,co2,Chất thải,0.07
1,2021,Phù Yên,co2,Công nghiệp,12.52
1,2021,Phù Yên,co2,Giao thông,655.68
1,2021,Phù Yên,co2,Nông nghiệp,14.14
1,2021,Phù Yên,co2,Năng lượng,12.29
